358129.1978,7353581.4981,-0.8630
358132.1686,7353618.8114,-0.7250
358131.0667,7353650.2746,-0.7490
358149.7018,7353685.9464,-0.5070
358171.5232,7353710.4074,-0.8030
358203.5524,7353739.9041,-1.5360
358229.8634,7353767.7424,-1.6460
358247.7559,7353781.1233,-1.5150
358273.3158,7353792.5222,-1.6940
358286.7736,7353797.7428,-1.7030
358314.5006,7353808.8703,-1.8860
358336.7507,7353817.2958,-1.5850
358360.6779,7353826.3046,-1.6950
358398.3942,7353842.4768,-2.0290
358430.4557,7353854.3264,-2.3200
358450.7850,7353863.5521,-2.4670
358464.9136,7353868.9018,-2.3880
358444.4072,7353882.8143,-2.3110
358429.4238,7353878.6051,-2.3140
358424.0659,7353880.1042,-2.2810
358424.9290,7353904.9149,-2.4210
358420.0108,7353905.7927,-2.4390
358420.4575,7353916.0674,-2.5480
358329.1796,7353840.4022,-1.9490
358301.2129,7353840.0113,-1.8320
358296.5099,7353849.1407,-1.9230
358275.4046,7353825.5257,-1.4500
358262.3065,7353813.3521,-1.4620
358161.7686,7353570.7419,-1.4740
358205.8796,7353584.0697,-1.9630
358255.3128,7353592.3379,-1.9610
358320.6924,7353607.7199,-1.8560
358380.9013,7353618.9253,-1.7280
358455.3060,7353638.5515,-1.5600
358508.3434,7353629.0624,-1.5500
358577.2648,7353621.4220,-1.5500
358648.2338,7353609.9138,-1.5600
358707.1168,7353600.9886,-1.5040
358764.1726,7353591.1096,-1.6630
